example_id                                                    | status  | run_time        |
./spec/models/app_spec.rb[1:2]                                | passed  | 0.01842 seconds |
./spec/models/city_manager_spec.rb[1:1]                       | pending | 0.00014 seconds |
./spec/models/form_answer_spec.rb[1:1]                        | pending | 0.00002 seconds |
./spec/models/form_option_spec.rb[1:1]                        | pending | 0.00002 seconds |
./spec/models/form_question_spec.rb[1:1]                      | pending | 0.00002 seconds |
./spec/models/form_spec.rb[1:1]                               | pending | 0.00004 seconds |
./spec/models/group_manager_team_spec.rb[1:1]                 | pending | 0.00003 seconds |
./spec/models/group_spec.rb[1:1:1:1]                          | passed  | 0.07169 seconds |
./spec/models/group_spec.rb[1:1:1:2]                          | passed  | 0.06617 seconds |
./spec/models/group_spec.rb[1:1:2:1]                          | passed  | 0.16842 seconds |
./spec/models/group_spec.rb[1:1:2:2]                          | passed  | 0.17496 seconds |
./spec/models/group_spec.rb[1:1:2:3]                          | passed  | 0.2837 seconds  |
./spec/models/group_spec.rb[1:1:2:4]                          | passed  | 0.23208 seconds |
./spec/models/group_spec.rb[1:1:3:1]                          | passed  | 0.10751 seconds |
./spec/models/group_spec.rb[1:1:3:2]                          | passed  | 0.12543 seconds |
./spec/models/group_spec.rb[1:1:3:3]                          | passed  | 0.11932 seconds |
./spec/models/group_spec.rb[1:1:3:4]                          | passed  | 0.11221 seconds |
./spec/models/group_spec.rb[1:1:3:5]                          | passed  | 0.11116 seconds |
./spec/models/group_spec.rb[1:1:4:1]                          | passed  | 0.14708 seconds |
./spec/models/group_spec.rb[1:1:5:1]                          | passed  | 0.1606 seconds  |
./spec/models/group_spec.rb[1:1:5:2]                          | passed  | 0.14149 seconds |
./spec/models/group_spec.rb[1:1:5:3]                          | passed  | 0.14001 seconds |
./spec/models/group_spec.rb[1:1:5:4]                          | passed  | 0.1464 seconds  |
./spec/models/group_spec.rb[1:1:6:1]                          | passed  | 0.11589 seconds |
./spec/models/group_spec.rb[1:1:6:2]                          | passed  | 0.10217 seconds |
./spec/models/group_spec.rb[1:1:7:1]                          | passed  | 0.11874 seconds |
./spec/models/group_spec.rb[1:1:7:2]                          | passed  | 0.10061 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:1]     | passed  | 0.04771 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:2]     | passed  | 0.03197 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:3]     | passed  | 0.03358 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:4]     | passed  | 0.08662 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:5]     | passed  | 0.01629 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:1]     | passed  | 0.0149 seconds  |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:2]     | passed  | 0.01769 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:3]     | passed  | 0.0151 seconds  |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:4]     | passed  | 0.01255 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:5]     | passed  | 0.01601 seconds |
